구분,n,평균,표준편차,최솟값,최댓값,왜도,첨도,변동계수,q01,q05,q25,q50,q75,q95,q99
전체,300153,20889.66,22697.77,1105,123071,1.06,-0.4,1.09,1776.0,2436.0,4783.0,7425.0,42521.0,63277.0,76736.0
class=Business,93487,52540.08,12969.31,12000,123071,-0.1,0.81,0.25,20684.0,27976.0,45185.0,53164.0,60396.0,73297.0,84896.0
class=Economy,206666,6572.34,3743.52,1105,42349,1.7,4.17,0.57,1714.0,2276.0,4173.0,5772.0,7746.0,14020.75,19667.35
