분할방식,기준모델,학습 대표값,n_train,n_test,MAE,RMSE,R2
split_random,평균 예측,20885.07,240122,60031,19763.7,22721.3,-0.0
split_random,중앙값 예측,7425.0,240122,60031,16155.3,26420.6,-0.35214
split_group,평균 예측,21000.98,245189,54964,19730.1,22497.8,-0.00073
split_group,중앙값 예측,7484.0,245189,54964,15772.3,25931.2,-0.32948
